,icsa_code,URL,YEAR,CVES,CVES_URL,ATTENTION,VENDOR,EQUIPMENT,VULNERABILITIES,CRITICAL INFRAESTRUCTURE SECTOR,COUNTRIES\/AREAS DEPLOYED,COMPANY HEADQUARTERS LOCATION,CWES
516,ICSA-20-072-02,https://us-cert.cisa.gov//ics/advisories/icsa-20-072-02,20,['CVE-2019-18998'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18998'],Exploitable remotely/low skill level to exploit,ABB,Asset Suite,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Energy,Worldwide,Switzerland,['639']
517,ICSA-20-072-03,https://us-cert.cisa.gov//ics/advisories/icsa-20-072-03,20,['CVE-2019-1649'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-1649'],Exploitable remotely/low skill level to exploit,Rockwell Automation,Allen-Bradley Stratix 5950,Not Found, Critical Manufacturing,Worldwide,United States,['284']
518,ICSA-20-070-03,https://us-cert.cisa.gov//ics/advisories/icsa-20-070-03,20,['CVE-2020-7579'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-7579'],Exploitable remotely/low skill level to exploit,Siemens,Spectrum Power 5,Not Found, Critical Manufacturing,Worldwide,Germany,['80']
519,ICSA-20-070-04,https://us-cert.cisa.gov//ics/advisories/icsa-20-070-04,20,['CVE-2019-7589'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-7589'],Exploitable remotely/low skill level to exploit,"Kantech, a subsidiary of Johnson Controls",EntraPass,Not Found, Critical Manufacturing,Worldwide,Ireland,['20']
520,ICSA-20-070-05,https://us-cert.cisa.gov//ics/advisories/icsa-20-070-05,20,['CVE-2020-9044'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-9044'],Exploitable remotely/low skill level to exploit,Johnson Controls,Metasys,Not Found, Critical Manufacturing,Worldwide,Ireland,['611']
521,ICSA-20-070-06,https://us-cert.cisa.gov//ics/advisories/icsa-20-070-06,20,"['CVE-2020-6988', 'CVE-2020-6990', 'CVE-2020-6984', 'CVE-2020-6980']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6990', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6984', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6988', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6980']",Exploitable remotely/low skill level to exploit,Rockwell Automation,"MicroLogix 1400 Controllers, MicroLogix 1100 Controllers, and RSLogix 500 Software","When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Multiple,Worldwide,United States,"['321', '327', '603', '312']"
522,ICSA-20-042-11,https://us-cert.cisa.gov//ics/advisories/icsa-20-042-11,20,['CVE-2019-19281'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-19281'],Exploitable remotely,Siemens,SIMATIC S7-1500 CPU family,Not Found, Critical Manufacturing,Worldwide,Germany,['400']
523,ICSA-19-351-02,https://us-cert.cisa.gov//ics/advisories/icsa-19-351-02,19,"['CVE-2019-18316', 'CVE-2019-18311', 'CVE-2019-18297', 'CVE-2018-4832', 'CVE-2019-18290', 'CVE-2019-18288', 'CVE-2019-18295', 'CVE-2019-18315', 'CVE-2019-18326', 'CVE-2019-18318', 'CVE-2019-18289', 'CVE-2019-18289,', 'CVE-2019-18292', 'CVE-2019-18308', 'CVE-2019-18328', 'CVE-2019-18283', 'CVE-2019-18293', 'CVE-2019-18309', 'CVE-2019-18313', 'CVE-2019-18296', 'CVE-2019-18331', 'CVE-2019-18305', 'CVE-2019-18320', 'CVE-2019-18324', 'CVE-2019-18321', 'CVE-2019-18286', 'CVE-2019-18304', 'CVE-2019-18291', 'CVE-2019-18300', 'CVE-2019-18294', 'CVE-2019-18325', 'CVE-2019-18314', 'CVE-2019-18317', 'CVE-2019-18322', 'CVE-2019-18310', 'CVE-2019-18307', 'CVE-2019-18323', 'CVE-2019-18332', 'CVE-2019-18306', 'CVE-2019-18333', 'CVE-2019-18335', 'CVE-2019-18302', 'CVE-2019-18312', 'CVE-2019-18334', 'CVE-2019-18330', 'CVE-2019-18298', 'CVE-2019-18284', 'CVE-2019-18301', 'CVE-2019-18319', 'CVE-2019-18299', 'CVE-2019-18329', 'CVE-2019-18303', 'CVE-2019-18287', 'CVE-2019-18327', 'CVE-2019-18285']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-4832', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18283', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18284', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18285', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18286', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18287', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18288', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18289', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18290', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18291', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18292', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18293', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18294', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18295', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18296', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18297', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18298', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18299', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18300', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18301', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18302', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18303', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18304', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18305', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18306', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18307', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18308', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18309', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18310', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18311', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18312', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18313', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18314', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18315', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18316', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18317', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18318', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18319', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18320', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18321', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18322', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18323', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18324', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18325', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18326', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18327', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18328', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18329', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18330', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18331', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18332', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18333', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18334', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18335']",Exploitable remotely/low skill level to exploit,Siemens,SPPA-T3000,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Energy,Worldwide,Germany,"['20', '502', '287', '319', '287', '287', '434', '122', '122', '122', '122', '122', '122', '122', '122', '122', '190', '190', '190', '190', '190', '190', '190', '190', '125', '125', '284', '284', '121', '952', '287', '434', '287', '287', '502', '287', '287', '287', '287', '287', '287', '122', '122', '122', '122', '122', '122', '122', '122', '200', '200', '200', '200', '200']"
524,ICSA-19-344-04,https://us-cert.cisa.gov//ics/advisories/icsa-19-344-04,19,['CVE-2019-10929'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-10929'],Exploitable remotely,Siemens,SIMATIC CP 1626; HMI Panel (incl. SIPLUS variants); NET PC software; STEP 7 (TIA Portal); WinCC (TIA Portal); WinCC OA; WinCC Runtime (Pro and Advanced); TIM 1531 IRC (incl. SIPLUS variant),"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Critical Manufacturing, Energy, Food and Agriculture, Water and Wastewater Systems",Worldwide,Germany,['327']
525,ICSA-19-344-06,https://us-cert.cisa.gov//ics/advisories/icsa-19-344-06,19,"['CVE-2019-10943', 'CVE-2019-10929']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-10929', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-10943']",Exploitable remotely/low skill level to exploit,Siemens,SIMATIC S7-1200 and S7-1500 CPU families,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Critical Manufacturing, Energy, Food and Agriculture, Water and Wastewater Systems",Worldwide,Germany,"['327', '353']"
526,ICSA-19-099-03,https://us-cert.cisa.gov//ics/advisories/ICSA-19-099-03,19,['CVE-2019-6575'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-6575'],Exploitable remotely/low skill level to exploit,Siemens,"SIMATIC, SINEC-NMS, SINEMA, SINEMURIK Industrial Control Products with OPC UA","When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Critical Manufacturing, Energy, Food and Agriculture, Water and Wastewater Systems",Worldwide,Germany,[]
527,ICSA-16-348-05,https://us-cert.cisa.gov//ics/advisories/ICSA-16-348-05,16,"['CVE-2016-9158', 'CVE-2016-9158:', 'CVE-2016-9159']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2016-9159', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2016-9158']",Exploitable remotely/low skill level to exploit,Siemens,SIMATIC S7-300 and SIMATIC S7-400,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Energy, Food and Agriculture, and Water and Wastewater Systems",Worldwide,Germany,"['200', '20']"
528,ICSA-20-065-01,https://us-cert.cisa.gov//ics/advisories/icsa-20-065-01,20,"['CVE-2019-5077', 'CVE-2019-5080', 'CVE-2019-5074', 'CVE-2019-5073', 'CVE-2019-5082', 'CVE-2019-5078', 'CVE-2019-5081', 'CVE-2019-5075', 'CVE-2019-5079']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5073', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5074', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5075', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5077', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5078', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5079', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5080', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5081', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5082']",Exploitable remotely/low skill level to exploit,WAGO,I/O-CHECK Series PFC100 and Series PFC200,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Commercial Facilities, Energy, Manufacturing, Transportation Systems",Worldwide,Germany,"['201', '805', '805', '306', '306', '120', '306', '120', '120']"
529,ICSA-20-063-01,https://us-cert.cisa.gov//ics/advisories/icsa-20-063-01,20,['CVE-2020-6971'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6971'],Low skill level to exploit,Emerson,ValveLink,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Critical Manufacturing, Dams, Energy, Food and Agriculture, Healthcare and Public Health, Nuclear Reactors, Materials and Waste, Transportation Systems, Water",Worldwide,United States,['284']
530,ICSA-20-063-02,https://us-cert.cisa.gov//ics/advisories/icsa-20-063-02,20,['CVE-2020-8768'],['https://nvd.nist.gov/vuln/detail/CVE-2020-8768'],Exploitable remotely/low skill level to exploit,Phoenix Contact,Emalytics Controller ILC 2050 BI(L),"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Commercial Facilities, Energy",Worldwide,Germany,['732']
531,ICSA-20-063-03,https://us-cert.cisa.gov//ics/advisories/icsa-20-063-03,20,['CVE-2020-6986'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6986'],Exploitable remotely/low skill level to exploit,Omron,PLC CJ Series,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Critical Manufacturing,Worldwide,Japan,['400']
532,ICSA-20-063-04,https://us-cert.cisa.gov//ics/advisories/icsa-20-063-04,20,"['CVE-2019-5138', 'CVE-2019-5153', 'CVE-2019-5136', 'CVE-2019-5141', 'CVE-2019-5140', 'CVE-2019-5162', 'CVE-2019-5142', 'CVE-2019-5148', 'CVE-2019-5165', 'CVE-2019-5137', 'CVE-2019-5139', 'CVE-2019-5143']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5136', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5137', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5138', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5139', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5140', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5141', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5142', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5143', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5148', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5153', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5162', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-5165']",Exploitable remotely/low skill level is needed to exploit/public exploits are available,Moxa,Moxa AWK-3131A,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Critical Manufacturing, Energy, Water and Wastewater Systems",Worldwide,Taiwan,"['284', '321', '78', '798', '78', '78', '78', '120', '125', '121', '284', '288']"
533,ICSA-20-056-01,https://us-cert.cisa.gov//ics/advisories/icsa-20-056-01,20,"['CVE-2019-9097', 'CVE-2019-9104', 'CVE-2019-9099', 'CVE-2019-9103', 'CVE-2019-9095', 'CVE-2019-9096', 'CVE-2019-9098', 'CVE-2019-9101', 'CVE-2019-9102']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-9099', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-9098', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-9102', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-9095', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-9103', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-9101', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-9096', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-9104', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-9097']",Exploitable remotely/low skill level to exploit,Moxa,"MB3170 series, MB3180 series, MB3270 series, MB3280 series, MB3480 series, and MB3660 series",Not Found," Critical Manufacturing, Energy, Water and Wastewater Systems",Worldwide,Taiwan,"['121', '680', '352', '327', '200', '319', '521', '312', '941']"
534,ICSA-20-056-02,https://us-cert.cisa.gov//ics/advisories/icsa-20-056-02,20,"['CVE-2019-18242', 'CVE-2020-7003', 'CVE-2019-18238']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18238', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-7003', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18242']",Exploitable remotely/low skill level to exploit,Moxa,"ioLogik 2542-HSPA Series Controllers and IOs, and IOxpress Configuration Utility",Not Found," Critical Manufacturing, Energy, Water and Wastewater Systems",Worldwide,Taiwan,"['312', '319', '941']"
535,ICSA-20-056-03,https://us-cert.cisa.gov//ics/advisories/icsa-20-056-03,20,"['CVE-2020-6995', 'CVE-2020-6985', 'CVE-2020-6993', 'CVE-2020-6989', 'CVE-2020-6983', 'CVE-2020-6987']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6989', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6987', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6983', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6985', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6995', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6993']",Exploitable remotely/low skill level to exploit,Moxa,PT-7528 Series and PT-7828 Series,Not Found," Critical Manufacturing, Energy, Water and Wastewater Systems",Worldwide,Taiwan,"['121', '327', '321', '798', '521', '200']"
536,ICSA-20-056-04,https://us-cert.cisa.gov//ics/advisories/icsa-20-056-04,20,"['CVE-2020-6999', 'CVE-2020-7001', 'CVE-2020-6991', 'CVE-2020-6979', 'CVE-2020-6997', 'CVE-2020-6981', 'CVE-2020-7007']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-7007', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-7001', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6979', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6981', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6999', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6997', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6991']",Exploitable remotely/low skill level to exploit,Moxa,"EDS-G516E series, and EDS-510E series",Not Found," Critical Manufacturing, Energy, Water and Wastewater Systems",Worldwide,Taiwan,"['121', '327', '321', '798', '120', '319', '521']"
537,ICSA-20-056-05,https://us-cert.cisa.gov//ics/advisories/icsa-20-056-05,20,"['CVE-2020-6982', 'CVE-2020-7005', 'CVE-2020-6978']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-7005', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6982', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6978']",Exploitable remotely,Honeywell,WIN-PAK,Not Found, Multiple,Worldwide,United States,"['352', '644', '477']"
538,ICSA-20-051-01,https://us-cert.cisa.gov//ics/advisories/icsa-20-051-01,20,['CVE-2019-19108'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-19108'],Exploitable remotely/low skill level to exploit,B&R Industrial Automation GmbH,Automation Studio and Automation Runtime,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Critical Manufacturing, Energy",Worldwide,Austria,['285']
539,ICSA-20-051-02,https://us-cert.cisa.gov//ics/advisories/icsa-20-051-02,20,['CVE-2020-6967'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6967'],Exploitable remotely/low skill level to exploit,Rockwell Automation,FactoryTalk Diagnostics,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Food and Agriculture, Transportation Systems, Water and Wastewater Systems",Worldwide,United States,['502']
540,ICSA-20-051-03,https://us-cert.cisa.gov//ics/advisories/icsa-20-051-03,20,"['CVE-2020-6974', 'CVE-2020-6972']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6972', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6974']",Exploitable remotely/low skill level to exploit,Honeywell,NOTI-FIRE-NET Web Server (NWS-3),"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Food and Agriculture, Transportation Systems, Water and Wastewater Systems",Worldwide,United States,"['294', '22']"
541,ICSA-20-051-04,https://us-cert.cisa.gov//ics/advisories/icsa-20-051-04,20,"['CVE-2018-5399', 'CVE-2019-6560', 'CVE-2019-6558', 'CVE-2018-5400', 'CVE-2018-5401', 'CVE-2018-5402']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-5402', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-5401', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-5400', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2018-5399', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-6560', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-6568']",Exploitable remotely/low skill level to exploit,Auto-Maskin,"RP 210E Remote Panels, DCU 210E Control Units, and Marine Observer Pro (Android App)","When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Transportation Systems,Worldwide,Norway,"['319', '319', '346', '798', '640', '521']"
542,ICSMA-20-049-01,https://us-cert.cisa.gov//ics/advisories/icsma-20-049-01,20,"['Microsoft Customer Guidance for CVE-2019-0708', 'CVE-2019-0708', 'CVE-2019-0708)']","['https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2019-0708', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-0708', 'https://support.microsoft.com/en-us/help/4500705/customer-guidance-for-cve-2019-0708']",Exploitable remotely/Low skill level to exploit/Public exploits known,Spacelabs,Xhibit Telemetry Receiver,Not Found, Healthcare and Public Health ,Worldwide ,United States,['20']
543,ICSMA-20-049-02,https://us-cert.cisa.gov//ics/advisories/icsma-20-049-02,20,['CVE-2020-6977'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6977'],Low skill level to exploit,GE,Ultrasound Products,Not Found, Healthcare and Public Health,Worldwide,United States,['693']
544,ICSA-20-049-01,https://us-cert.cisa.gov//ics/advisories/icsa-20-049-01,20,['CVE-2020-6968'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6968'],Low skill level to exploit,Honeywell,INNCOM INNControl 3,Not Found," Commercial Facilities, Critical Manufacturing, Energy, Healthcare and Public Health",Worldwide,United States,['269']
545,ICSA-20-049-02,https://us-cert.cisa.gov//ics/advisories/icsa-20-049-02,20,['CVE-2020-6970'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-6970'],Exploitable remotely,Emerson,OpenEnterprise SCADA Server,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Energy, Chemical, Transportation, Water and Wastewater",Worldwide,United States,['122']
546,ICSA-20-044-01,https://us-cert.cisa.gov//ics/advisories/icsa-20-044-01,20,"['CVE-2019-6810', 'CVE-2019-6813', 'CVE-2019-6831']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-6813', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-6831', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-6810']",Exploitable remotely/low skill level to exploit,Schneider Electric,Modicon BMXNOR0200H,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Commercial Facilities,Worldwide,France,"['754', '754', '284']"
547,ICSA-20-044-02,https://us-cert.cisa.gov//ics/advisories/icsa-20-044-02,20,['CVE-2019-6833'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-6833'],Exploitable remotely/low skill level to exploit,Schneider Electric,Magelis HMI Panel,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Critical Manufacturing, Food and Agriculture",Worldwide,France,['754']
548,ICSA-20-042-03,https://us-cert.cisa.gov//ics/advisories/icsa-20-042-03,20,"['CVE-2019-12815', 'CVE-2019-18217']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-12815', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-18217']",Exploitable remotely/low skill level to exploit,Siemens,SIMATIC CP 1543-1,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Chemical, Energy, Food and Agriculture, Healthcare and Public Health, Transportation Systems, and Water and Wastewater Systems",Worldwide,Germany,"['284', '835']"
